,prompt,reply,time,image_id,img_path
10,Describe every item in the image,"The image shows an aerial view of a section of an airport with various elements visible:

1. **Aircrafts**: There are three aircraft visible in the image. Two are parked on the tarmac near the terminal buildings, and one is taxiing on a taxiway.

2. **Service Vehicles**: A line of white service vehicles, possibly buses or shuttles, is parked in a designated area. There are about nine vehicles in total.

3. **Roadways and Taxiways**: The image shows several roadways and taxiways crisscrossing the area, used for the movement of aircraft and airport service vehicles.

4. **Terminal Buildings**: Part of a terminal building is visible on the right side of the image, characterized by large, rectangular structures with flat roofs.

5. **Construction or Storage Area**: There is a fenced area with various materials and equipment, suggesting a construction site or storage area. This includes piles of materials, containers, and possibly construction machinery.

6. **Markings and Signage**: The taxiways and roadways have various markings for direction and safety, including dashed lines, solid lines, and directional arrows.

7. **Grass Areas**: There are patches of grass around the taxiways and terminal, adding some greenery to the airport environment.

8. **Fencing**: There is fencing around the perimeter of certain areas, likely for security and safety purposes, particularly around the construction or storage area.

Each of these elements plays a role in the operation and management of the airport, contributing to both air travel and ground operations.",7.251369099831209,420,E:/datasets/DOTA_dataset_512/val/images/P0161_16.png
11,"Is there a plane in the image, if so how many?","Yes, there are planes in the image. There are three planes visible.",5.985549099976197,420,E:/datasets/DOTA_dataset_512/val/images/P0161_16.png
12,Describe every item in the image,"The image depicts an aerial view of a section of an airport. Here are the items visible in the image:

1. **Aircrafts**:
   - There are three large passenger aircraft visible. One is located at the top left corner of the image, another near the center, and the third at the bottom right. Each aircraft has a distinct livery, but specific airline details are not visible.

2. **Airport Terminal Buildings**:
   - There are two main buildings. One is a large rectangular building with a white roof located at the left side of the image. The other is a smaller building adjacent to it.

3. **Vehicles**:
   - Several vehicles are scattered across the image, mainly near the aircraft and buildings. These include baggage trolleys, fuel trucks, and other service vehicles typical of airport operations.

4. **Roadways and Taxiways**:
   - There are several marked taxiways for aircraft movement, distinguished by their gray color and yellow line markings. There are also roads for vehicle access adjacent to the terminal buildings.

5. **Parking Areas**:
   - There are parking areas visible, particularly near the buildings, filled with various vehicles.

6. **Miscellaneous Equipment**:
   - Scattered around the aircraft and buildings are various pieces of ground support equipment, likely including luggage loaders, maintenance stands, and possibly power units.

7. **Grass and Landscaped Areas**:
   - Some areas around the taxiways and terminal buildings are landscaped with grass, enhancing visibility and safety at the airport.

Each element is integral to the airport's operation, supporting both the aircraft operations and the necessary ground support logistics.",7.617605600040406,421,E:/datasets/DOTA_dataset_512/val/images/P0161_17.png
13,"Is there a plane in the image, if so how many?","Yes, there are three planes visible in the image. They are located at different positions on the tarmac of an airport.",2.886601000092924,421,E:/datasets/DOTA_dataset_512/val/images/P0161_17.png
14,Describe every item in the image,"The image shows an aerial view of an airport apron and adjacent areas. Here are the items visible in the image:

1. **Aircraft**:
   - A large white aircraft with a blue tail, parked facing northeast.
   - A smaller white aircraft with a yellow tail, parked facing northeast.
   - Another smaller white aircraft with a gray tail, parked facing northeast.

2. **Vehicles**:
   - Several small service vehicles, likely used for baggage handling or maintenance, scattered around the aircraft and buildings.
   - A cluster of cars parked in a parking lot to the right side of the image.

3. **Buildings**:
   - A large white hangar or warehouse building with multiple loading bays and trucks parked outside, located at the bottom of the image.
   - Smaller buildings or structures adjacent to the larger building, possibly offices or additional storage facilities.

4. **Infrastructure**:
   - Tarmac areas marked with yellow lines for aircraft parking and navigation.
   - Roads and pathways for vehicle movement around the airport.

5. **Miscellaneous**:
   - Pallets and cargo containers stacked near the hangar, likely for loading or unloading aircraft.
   - Various markings and signs on the tarmac for operational purposes.

This setup is typical of a busy airport environment, focusing on the handling and maintenance of aircraft and the management of cargo and logistics.",7.189677899936214,422,E:/datasets/DOTA_dataset_512/val/images/P0161_18.png
15,"Is there a plane in the image, if so how many?","Yes, there are planes in the image. I can see five planes clearly visible on the tarmac.",2.152998800156638,422,E:/datasets/DOTA_dataset_512/val/images/P0161_18.png
16,Describe every item in the image,"The image shows an aerial view of a section of an airport. Here are the items visible in the image:

1. **Runway/Taxiway**: A large asphalt surface marked with yellow lines for guiding aircraft movement. There are specific markings and numbers indicating taxiing guidelines and positions.

2. **Aircraft**: There are two aircraft visible. One is located near the center of the image, and the other is near the top-right corner. Both aircraft are white and appear to be commercial jets.

3. **Airport Terminal Building**: In the bottom right corner of the image, there is a part of a building, likely an airport terminal or a hangar, with a dark gray roof.

4. **Roads**: There are roads adjacent to the taxiway, marked with white and yellow lines, likely for service vehicles at the airport.

5. **Grassed Areas**: There are patches of grass around the taxiway and terminal building, providing a contrast to the gray asphalt.

6. **Parking Stands**: There are marked areas on the asphalt near the terminal building, likely used for parking or servicing the aircraft.

7. **Yellow Markings and Numbers**: The taxiway has several yellow markings including arrows, lines, and numbers which are used for navigation and positioning of the aircraft.

Each element in the image plays a role in the operations and management of airport traffic, both in the air and on the ground.",8.874171299859881,425,E:/datasets/DOTA_dataset_512/val/images/P0161_23.png
17,"Is there a plane in the image, if so how many?","Yes, there are two planes visible in the image. They are parked on the tarmac at an airport.",2.768455400131643,425,E:/datasets/DOTA_dataset_512/val/images/P0161_23.png
18,Describe every item in the image,"The image shows an aerial view of an airport area with various elements visible:

1. **Aircraft**: There is a white aircraft visible on the left side of the image, parked on the tarmac near a building.

2. **Buildings**: Several buildings are visible in the image. These include:
   - A large building with a flat roof on the right side, possibly a terminal or hangar.
   - A smaller rectangular building adjacent to the large building.
   - Another building with a dark roof located towards the bottom left of the image.

3. **Vehicles**: A number of vehicles are parked next to the smaller buildings, mostly looking like cars.

4. **Roads and Markings**:
   - There are multiple roads and pathways crisscrossing the area, marked with various lines and symbols typical for airport ground markings.
   - The markings include lane and edge lines, directional arrows, and other navigational aids on the tarmac.

5. **Green Areas**: Small patches of grass or green areas are visible, notably around the edges of some buildings and the central part of the image.

6. **Miscellaneous Details**:
   - There are various shadows cast by the buildings and aircraft, indicating the direction of the sunlight.
   - Some areas of the tarmac show signs of wear or staining.

This overview captures the primary visible elements in the image, illustrating a typical section of an airport used for aircraft parking and maintenance, along with associated infrastructure.",8.020070800092071,426,E:/datasets/DOTA_dataset_512/val/images/P0161_24.png
19,"Is there a plane in the image, if so how many?","Yes, there is one plane visible in the image. It is located near the top left corner of the image, on the tarmac.",2.110380000201985,426,E:/datasets/DOTA_dataset_512/val/images/P0161_24.png
20,Describe every item in the image,"The image shows an aerial view of a section of an airport. Here are the items visible in the image:

1. **Aircrafts**: There are three large commercial airplanes with white bodies and red tails parked at gates. These aircrafts are aligned in a row, each connected to a jet bridge.

2. **Jet Bridges**: Attached to each airplane, there are jet bridges facilitating the boarding and deboarding of passengers. These structures are mostly gray with some parts in white.

3. **Tarmac Area**: The area where the airplanes are parked is a large expanse of gray tarmac with various markings for safety and guidance.

4. **Service Vehicles**: A few small service vehicles are visible near the airplanes, likely used for baggage handling or maintenance.

5. **Markings and Signs**: The tarmac has several yellow lines and signs, including directional arrows and numbers that help in navigating the area.

6. **Grassed Areas**: There are small landscaped grass areas, one of which is triangular and located near the top of the image.

7. **Roadways**: There are curved roadways around the grassed areas, likely for service vehicle access.

8. **Building Structures**: Parts of airport terminal buildings can be seen at the edges of the image, characterized by dark roofs.

9. **Safety Cones**: A few orange safety cones are placed around the aircrafts, likely for safety and operational purposes.

10. **Ground Equipment**: There are various pieces of ground equipment scattered around the airplanes, including baggage carts and maintenance stairs.

Each element in the image plays a role in the complex operations of an airport, ensuring that flights and ground handling processes run smoothly.",7.753414100036025,430,E:/datasets/DOTA_dataset_512/val/images/P0161_30.png
21,"Is there a plane in the image, if so how many?","Yes, there are planes in the image. I can see three planes parked at the terminal.",3.0345382001250982,430,E:/datasets/DOTA_dataset_512/val/images/P0161_30.png
22,Describe every item in the image,"The image depicts an aerial view of an airport area with various elements visible:

1. **Aircrafts**: There are several aircraft parked at the terminal, with their distinctive shapes and tails visible. The tails have different colors and designs, indicating different airlines.

2. **Terminal Building**: A large building with a roof that appears to be structured to accommodate the docking of multiple aircraft.

3. **Service Vehicles**: Various vehicles are visible around the aircraft and terminal area, likely used for baggage handling, fueling, or other ground support tasks.

4. **Roads and Markings**: There are roads marked with white lines for vehicle movement, including directional arrows showing traffic flow.

5. **Parking Lot**: A parking area filled with cars is visible, indicating facilities for passengers or airport staff.

6. **Smaller Buildings**: Several smaller buildings are scattered around the area, possibly used for storage, maintenance, or administration.

7. **Fences and Barriers**: Security fences and barriers are evident around the perimeter of the airport and between different operational areas to ensure safety and security.

This overview captures the primary elements involved in the ground operations of an airport from an aerial perspective.",6.860078100115061,431,E:/datasets/DOTA_dataset_512/val/images/P0161_31.png
23,"Is there a plane in the image, if so how many?","Yes, there are planes in the image. I can see three planes visible in the image, parked at an airport terminal.",1.9532230000477284,431,E:/datasets/DOTA_dataset_512/val/images/P0161_31.png
24,Describe every item in the image,"The image shows an aerial view of a section of an airport with various elements visible:

1. **Aircraft**: There are several aircraft parked at gates. The tails of these aircraft are visible, and they are positioned adjacent to the terminal building.

2. **Terminal Building**: A part of the terminal building is visible on the right side of the image. This is where passengers board and disembark from the aircraft.

3. **Tarmac**: The tarmac area is extensive and includes markings for aircraft parking and taxiways.

4. **Taxiways**: There are multiple taxiways visible, marked with white lines on the gray concrete. These are used by aircraft to taxi to and from runways and gates.

5. **Road Markings**: Various road markings are visible, including directional arrows and lines that indicate lanes and paths for vehicles.

6. **Grass Areas**: There are small patches of grass around the taxiways and terminal, adding some greenery to the otherwise gray and concrete-heavy scene.

7. **Service Vehicles**: There are a few service vehicles on the taxiways, likely used for airport operations such as baggage handling or maintenance.

8. **Safety Markings**: Yellow safety markings are present around the gate areas, likely to ensure safety and guide ground vehicles.

9. **Text and Symbols on the Ground**: There are texts and symbols painted on the ground, including ""X"" marks which typically indicate areas not to be used or closed sections, and other operational signage for pilots and ground crew.

This image captures a typical busy area of an airport, focusing on the interaction of aircraft and ground services near terminal gates.",8.308886300073937,435,E:/datasets/DOTA_dataset_512/val/images/P0161_37.png
25,"Is there a plane in the image, if so how many?","Yes, there are planes in the image. I can see three planes visible in the image, parked at the airport terminal.",1.938045599963516,435,E:/datasets/DOTA_dataset_512/val/images/P0161_37.png
26,Describe every item in the image,"The image shows an aerial view of an airport terminal and its surroundings. Here are the items visible in the image:

1. **Aircraft**: There are three large commercial airplanes parked at the terminal gates. Each aircraft has a distinctive white body with markings near the front.

2. **Terminal Buildings**: There are several buildings adjacent to the aircraft parking area. These buildings are likely used for airport operations, passenger services, and possibly administrative functions. They have flat roofs and are mostly rectangular.

3. **Jet Bridges**: Connecting the terminal buildings to the airplanes are jet bridges, allowing passengers to board and disembark. These are movable, covered walkways.

4. **Vehicles**: Various vehicles are visible in the image, including cars, airport service vehicles, and possibly buses or shuttles, parked in designated areas and on roads surrounding the terminal.

5. **Parking Lots**: There are multiple parking lots filled with cars, indicating areas for either short-term or long-term parking for passengers and airport staff.

6. **Roads and Access Ways**: There are roads that provide access around the terminal buildings and to the parking areas. These are essential for the movement of vehicles and service equipment.

7. **Pavement Markings**: The tarmac around the airplanes has various pavement markings for safety and operational guidance, including areas where aircraft should park and paths for service vehicles.

8. **Fences and Barriers**: Security fences and barriers are visible around the perimeter of the airport operational areas, ensuring controlled access and security.

This overview captures the primary elements visible in the image, highlighting the functional aspects of an airport terminal area.",7.617994999978691,436,E:/datasets/DOTA_dataset_512/val/images/P0161_38.png
27,"Is there a plane in the image, if so how many?","Yes, there are planes in the image. I can see three planes parked next to a terminal building.",1.9093214999884367,436,E:/datasets/DOTA_dataset_512/val/images/P0161_38.png
28,Describe every item in the image,"The image shows an aerial view of a section of an airport with various details:

1. **Aircraft**: Part of a large aircraft is visible at the right edge of the image, showing the wing and several engines.

2. **Taxiways**: There are several taxiways visible, marked with solid and dashed white lines used for the guidance of aircraft on the ground.

3. **Grass Areas**: Two grass areas are visible, one is a small circular patch and the other is a larger irregularly shaped area.

4. **Markings and Signs**:
   - Yellow lines and chevrons indicating taxiing guidelines and restricted areas.
   - Red signs on the ground spelling ""STOP"" for directing aircraft movement.

5. **Pavement Quality**: Various areas of the pavement show different textures and colors, indicating repairs or different materials used.

6. **Ground Service Equipment**: There are small, possibly mobile pieces of equipment near the aircraft, likely used for ground handling operations.

7. **Painted Numbers and Letters**: Various numbers and letters are painted on the taxiways, likely indicating directions or gate numbers for pilot navigation.

This setup is typical for areas in an airport where aircraft taxi to and from runways and gates.",6.137755300151184,440,E:/datasets/DOTA_dataset_512/val/images/P0161_44.png
29,"Is there a plane in the image, if so how many?","Yes, there is one plane visible in the image. It is located at the right edge of the image, partially visible with its tail and part of the wings showing.",2.424578499980271,440,E:/datasets/DOTA_dataset_512/val/images/P0161_44.png
30,Describe every item in the image,"The image shows an aerial view of a large facility, likely an airport terminal or a similar transportation hub. Here are the items visible in the image:

1. **Large Buildings**: There are several large buildings with complex, interconnected roofs. The roofs are mostly flat and covered with numerous small structures, possibly ventilation systems or other mechanical equipment.

2. **Airplanes**: Two large airplanes are visible, parked at the terminal. They are positioned near jet bridges that connect the terminal building to the airplane doors, facilitating passenger movement.

3. **Vehicles**: A variety of vehicles can be seen in the image. There is a parking lot filled with cars, and several service vehicles are visible near the airplanes and buildings, likely used for luggage handling or aircraft maintenance.

4. **Roadways and Pavements**: There are paved areas for vehicle movement, including access roads and paths around and between the buildings. A distinct curved driveway leads to one of the buildings, possibly for passenger drop-off and pick-up.

5. **Jet Bridges**: Several jet bridges extend from the terminal building to the airplanes, allowing passengers to board and disembark.

6. **Parking Lot**: There is a large parking lot with numerous cars, indicating a facility designed to handle a significant number of visitors or employees.

7. **Landscaping**: Minimal landscaping is visible, mostly confined to the peripheries of the paved areas, which includes some grassy patches.

This setup is typical of a busy airport terminal area, designed for efficiency in handling large volumes of passengers and aircraft.",7.827996199950576,441,E:/datasets/DOTA_dataset_512/val/images/P0161_45.png
31,"Is there a plane in the image, if so how many?","Yes, there is one plane visible in the image. It is located near the top left corner of the image, adjacent to a building.",3.1521274999249727,441,E:/datasets/DOTA_dataset_512/val/images/P0161_45.png
32,Describe every item in the image,"The image appears to be an aerial view of an industrial or airport area. Here are the items visible in the image:

1. **Large Buildings**: There are two large buildings with blue roofs. The larger building on the right has several white markings or skylights on the roof.

2. **Smaller Structures**: There are smaller buildings or structures with gray roofs adjacent to the larger buildings.

3. **Aircraft**: There is a commercial airplane with a white fuselage and green tail visible on what appears to be a tarmac or storage area.

4. **Vehicles**: Several vehicles are visible, including cars and possibly cargo trucks, near the buildings and on the surrounding roads.

5. **Roads**: There are paved roads surrounding and within the complex, facilitating vehicle movement.

6. **Vegetation**: There are areas with dense greenery, possibly trees or shrubs, particularly around the edges of the plot and between some of the buildings.

7. **Miscellaneous Objects**: There are various small, indistinct objects around the buildings and aircraft, which could be equipment or other types of vehicles.

8. **Fenced Areas**: There are fenced or barricaded areas, particularly noticeable around the aircraft.

This setup suggests a facility related to manufacturing, storage, or possibly maintenance related to aviation, given the presence of the aircraft.",6.60825529997237,446,E:/datasets/DOTA_dataset_512/val/images/P0168_1.png
33,"Is there a plane in the image, if so how many?","Yes, there is one plane visible in the image. It is located near the bottom center of the photo.",2.681719700107351,446,E:/datasets/DOTA_dataset_512/val/images/P0168_1.png
34,Describe every item in the image,"The image shows an aerial view of a location with various elements. Here’s a detailed description of each item visible in the image:

1. **Large Building**: There is a large blue-roofed building occupying a significant portion of the image. The building appears to be industrial or commercial, with a structured layout of windows and doors visible on the roof.

2. **Vehicles**: Several vehicles are parked outside the building. These include cars and possibly trucks or vans, indicating either a parking area or a loading zone.

3. **Green Area**: Adjacent to the building, there is a green area filled with trees and vegetation. This could be a small forested patch or a landscaped area within the premises.

4. **Railroad Track**: A railroad track runs along the bottom edge of the image, suggesting that the facility may have rail access for transport purposes.

5. **Airplanes**: To the left side of the image, there are two airplanes parked on what appears to be a tarmac or another type of hardstanding area. This suggests proximity to an airport or that this facility has its own airstrip.

6. **Miscellaneous Structures**: There are a few small structures or equipment near the railroad track and around the airplanes, which could be related to either the industrial facility or the aircraft operations.

This setup suggests a multi-use area possibly combining industrial, transportation, and possibly aviation-related activities.",6.762886699987575,447,E:/datasets/DOTA_dataset_512/val/images/P0168_2.png
35,"Is there a plane in the image, if so how many?","Yes, there is one plane visible in the image. It is located at the bottom left corner of the photo.",1.899001799989492,447,E:/datasets/DOTA_dataset_512/val/images/P0168_2.png
36,Describe every item in the image,"The image shows an aerial view of an airport or an aircraft storage area. Here are the items visible in the image:

1. **Aircraft**: There are multiple aircraft parked on the tarmac. Most of them are large, commercial-type jets with twin engines, likely used for passenger flights. The aircraft are predominantly white with some featuring red markings or tails.

2. **Runway/Taxiway**: There is a visible stretch of runway or taxiway, characterized by its long, paved, and grey appearance, which is used for the landing, takeoff, and taxiing of aircraft.

3. **Grass Areas**: Surrounding the tarmac and runway are areas covered with grass, indicating unused land or safety buffers around the active airport zones.

4. **Service Roads**: There are small, possibly paved roads that intersect and run parallel to the runway and around the parked aircraft, likely used for service vehicles to access different parts of the airport.

5. **Small Structures**: There are a few small, indistinct structures which could be related to airport operations, such as storage, maintenance facilities, or control checkpoints.

Each element is typical of an airport environment, designed to support the operation and maintenance of aircraft and the control of air traffic.",7.971996300155297,449,E:/datasets/DOTA_dataset_512/val/images/P0168_7.png
37,"Is there a plane in the image, if so how many?","Yes, there are planes in the image. I can see at least 12 planes clearly visible on the ground.",2.716869599884376,449,E:/datasets/DOTA_dataset_512/val/images/P0168_7.png
38,Describe every item in the image,"The image shows an aerial view of a section of an airport tarmac with several airplanes and ground markings. Here's a detailed description of the visible items:

1. **Airplanes**: There are seven airplanes visible in the image. They are parked in various orientations, some facing towards the camera and others away. Most of these airplanes have a white fuselage with red markings or accents, typical of certain commercial airlines.

2. **Tarmac Surface**: The surface of the tarmac appears worn and has several visible patches and discolorations, indicating regular use and maintenance activities.

3. **Ground Markings**: There are various ground markings on the tarmac, including lines and numbers that guide the parking and movement of aircraft. These markings are essential for the safe operation of the airport.

4. **Structural Elements**: There are a few visible structural elements like what appears to be a corner of a building or a jet bridge in the top left corner of the image.

Each of these elements is integral to the operation and management of airport activities, ensuring that aircraft can be parked, maintained, and maneuvered safely.",5.405783300055191,450,E:/datasets/DOTA_dataset_512/val/images/P0168_8.png
39,"Is there a plane in the image, if so how many?","Yes, there are planes in the image. I can see a total of seven planes.",1.6616288998629898,450,E:/datasets/DOTA_dataset_512/val/images/P0168_8.png
40,Describe every item in the image,"The image shows an aerial view of a section of an airport or airfield. Here are the items visible in the image:

1. **Aircraft**: There are five aircraft visible. Four of these are parked in a line, facing north, with their shapes suggesting they are small to medium-sized, possibly for passenger or cargo transport. The fifth aircraft is located slightly apart from the main line, facing northeast.

2. **Tarmac**: The aircraft are parked on a tarmac area, which shows signs of wear and patchwork, indicating it is frequently used for parking and maneuvering aircraft.

3. **Taxiways**: There are two visible taxiways. One curves around from the left side of the image, leading towards the parked aircraft. Another taxiway is visible on the right side, partially shown, suggesting a route for aircraft to enter or exit the parking area.

4. **Grass and Soil Areas**: Surrounding the tarmac and taxiways, there are areas covered with grass and exposed soil, typical of airfield boundaries and unused spaces within an airport.

5. **Markings and Lines**: The tarmac has various faded markings and lines, which are typically used to guide the parking and movement of aircraft.

This setup is typical of a functional area within an airport designed for the parking and minor maneuvering of aircraft.",6.246273099910468,451,E:/datasets/DOTA_dataset_512/val/images/P0168_9.png
41,"Is there a plane in the image, if so how many?","Yes, there are planes in the image. I can see three planes clearly visible on the tarmac.",1.910678999964148,451,E:/datasets/DOTA_dataset_512/val/images/P0168_9.png
42,Describe every item in the image,"The image shows an aerial view of a location with several key elements:

1. **Aircraft**: There are multiple aircraft parked in a formation that resembles a parking area specifically for planes. These aircraft vary slightly in size and design but are predominantly white.

2. **Runway/Taxiway**: There is a curved pathway that appears to be a taxiway used for the aircraft to move between the runway and the parking area.

3. **Building**: To the top left of the image, there is a large building which could be a hangar or an airport terminal.

4. **Vegetation**: Surrounding the aircraft parking area and part of the building, there is a dense area of greenery, likely trees or shrubs.

5. **Fences**: There are fences visible, particularly around the building, likely for security and to delineate the airport's boundaries.

6. **Road**: A small road can be seen leading up to and around the building, providing access to the facility.

These elements suggest that the location is an airport or airfield, primarily used for parking or storing aircraft.",6.732273999834433,452,E:/datasets/DOTA_dataset_512/val/images/P0168_10.png
43,"Is there a plane in the image, if so how many?","Yes, there are planes in the image. I can see a total of 10 planes parked in the area shown in the image.",1.9800762999802828,452,E:/datasets/DOTA_dataset_512/val/images/P0168_10.png
